Rdf-subject,Rdf-property,Rdf-value
<mcloud.projekt-opal.de/ds_378>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://www.w3.org/ns/dcat#dataset>
<mcloud.projekt-opal.de/ds_378>,<http://purl.org/dc/terms/title>,“RadwegeGis Hamburg”@de
<mcloud.projekt-opal.de/ds_378>,<http://purl.org/dc/terms/description>,"""Dieser Datensatz ist und war nie vollständig und wird nicht mehr gepflegt. Die Inhalte sind in verschiedene Einzeldatensätze zum Thema Radverkehr aufgeteilt.""@de"
<mcloud.projekt-opal.de/ds_378>,<http://www.w3.org/ns/dcat#distribution>,<http://distribution.projekt-opal.de/distribution_4>
<mcloud.projekt-opal.de/ds_378>,<http://purl.org/dc/terms/publisher>,<http://agent.projekt-opal.de/agent_2>
<mcloud.projekt-opal.de/ds_378>,<http://www.w3.org/ns/dcat#theme>,<http://mcloud.projeckt-opal.de/street>
<mcloud.projekt-opal.de/ds_378>,<http://purl.org/dc/terms/temporal>,07.09.2014^^http://www.w3.org/2001/XMLSchema#dateTime
<mcloud.projekt-opal.de/ds_378>,<http://purl.org/dc/terms/modified>,19.08.2018^^http://www.w3.org/2001/XMLSchema#dateTime
<mcloud.projekt-opal.de/ds_378>,<http://purl.org/dc/terms/license>,<http://dcat-ap.de/def/licenses/dl-by-de/2.0>
<mcloud.projekt-opal.de/ds_378>,<http://www.w3.org/ns/dcat#landingPage>,<https://mcloud.de/web/guest/suche/-/results/detail/radwegegishamburg?_mysearchportlet_backURL=https%3A%2F%2Fmcloud.de%2Fweb%2Fguest%2Fsuche%2F-%2Fresults%2FsearchAction%3F_mysearchportlet_query%3Dradwegegis%26_mysearchportlet_page%3D0&_mysearchportlet_query=radwegegis>
